Type,Task,Affine,Attribute,Fns
attn,attention/G_0_4_01_test.yaml,0,C,2.0
attn,attention/G_0_6_01_test.yaml,0,C,4.0
attn,attention/G_0_9_01_test.yaml,1,C,5.0
bmm,bmm/bmm_0_test.yaml,0,C,2
bmm,bmm/bmm_1_test.yaml,0,CS,2
bmm,bmm/bmm_2_test.yaml,0,CS,2
gemm-easy,gemm-easy/G_0_7_01_test.yaml,0,CS,2.0
gemm-easy,gemm-easy/G_0_6_03_test.yaml,0,CS,2.0
gemm-easy,gemm-easy/G_0_6_02_test.yaml,0,CS,2.0
norm,norm/G_0_9_02_test.yaml,1,C,6.0
norm,norm/G_0_16_01_test.yaml,3,CS,7.0
norm,norm/G_0_8_01_test.yaml,1,CS,6.0
rope,rope/G_0_3_02_test.yaml,0,C,2.0
rope,rope/G_0_3_03_test.yaml,0,C,2.0
rope,rope/G_0_4_01_test.yaml,1,,
index,moe/G_0_3_03_test.yaml,0,,
index,moe/G_0_13_02_test.yaml,0,CS,4.0
index,moe/G_0_7_03_test.yaml,0,CS,2.0
index,moe/G_0_3_04_test.yaml,0,C,2.0
expert,moe/G_0_7_01_test.yaml,2,C,4.0
expert,moe/G_0_6_05_test.yaml,1,C,4.0
expert,moe/G_0_5_02_test.yaml,1,C,4.0
etoe,moe/G_0_9_01_test.yaml,3,C,6.0
etoe,moe/G_0_9_02_test.yaml,3,C,6.0
etoe,moe/G_0_12_01_test.yaml,3,CS,6.0
etoe,moe/G_0_10_test.yaml,3,C,6.0
